Name,Entropy,A Size,B Size,Number of Threads,Elements Per Second,Total Time
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,4,452204096,0.00231881137005984783
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,8,1058087488,0.00099101068917661905
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,16,-2147483648,0.00045461655827239156
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,32,-2147483648,0.00034003256587311625
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,64,-2147483648,0.00032882689265534282
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,128,2055161984,0.00051021575927734375
AVX-512 Merge Path Based Parallel Merge,20,524288,524288,256,857954496,0.00122218136675655842
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,2,194684800,0.00538601865991950035
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,4,482231360,0.00217442517168819904
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,8,1069407744,0.00098052027169615030
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,16,-2147483648,0.00043005944462493062
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,32,-2147483648,0.00030260084895417094
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,64,-2147483648,0.00033302308293059468
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,128,-2147483648,0.00048046110896393657
AVX-512 Merge Path Based Parallel Merge,24,524288,524288,256,1022040896,0.00102596287615597248
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,2,185372912,0.00565657624974846840
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,4,484195712,0.00216560368426144123
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,8,1050605888,0.00099806790240108967
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,16,-2147483648,0.00047440530033782125
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,32,-2147483648,0.00036869049654342234
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,64,-2147483648,0.00029315947904251516
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,128,-2147483648,0.00046639441279694438
AVX-512 Merge Path Based Parallel Merge,28,524288,524288,256,815873280,0.00128521921578794718
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,2,237474240,0.00883107166737318039
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,4,249679040,0.00839939154684543610
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,8,312616576,0.00670838356018066406
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,16,320086048,0.00655183801427483559
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,32,624669248,0.00335721974261105061
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,64,1085481728,0.00193200109060853720
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,128,1210449280,0.00173254008404910564
AVX-512 Merge Path Based Parallel Merge,4,1048576,1048576,256,1049002176,0.00199918751604855061
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,2,190398224,0.01101455651223659515
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,4,499244704,0.00420064944773912430
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,8,1127415168,0.00186014175415039062
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,16,1959564544,0.00107021327130496502
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,32,-2147483648,0.00078783032950013876
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,64,-2147483648,0.00070557591971009970
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,128,2109476096,0.00099415774457156658
AVX-512 Merge Path Based Parallel Merge,8,1048576,1048576,256,1043130368,0.00201044091954827309
AVX-512 Merge Path Based Parallel Merge,12,1048576,1048576,2,94749960,0.02213354036211967468
AVX-512 Merge Path Based Parallel Merge,12,1048576,1048576,4,218308672,0.00960636138916015625
AVX-512 Merge Path Based Parallel Merge,12,1048576,1048576,8,1027629056,0.00204076757654547691
AVX-512 Merge Path Based Parallel Merge,12,1048576,1048576,16,-2147483648,0.00095672608586028218
AVX-512 Merge Path Based Parallel Merge,12,1048576,1048576,32,-2147483648,0.00049581530038267374
